"filename", "language", "C++", "Dart", "Markdown", "YAML", "Swift", "JSON", "Properties", "Groovy", "XML", "HTML", "comment", "blank", "total"
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\pages\product_details.dart", "Dart", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 113
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\widgets\add_to_cart_button.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\widgets\custom_button.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\widgets\discount.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\widgets\favorite_button.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\presentation\widgets\quantity.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\favorite\presentation\bloc\favorite_bloc.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\favorite\presentation\bloc\favorite_event.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\favorite\presentation\bloc\favorite_state.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\favorite\presentation\pages\favorite_screen.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\payment\data\repositories\razorpay_order_id.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\payment\data\repositories\varify_signature.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 20
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\payment\presentation\bloc\payment_bloc.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\payment\presentation\bloc\payment_event.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\payment\presentation\bloc\payment_state.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\payment\presentation\pages\payment.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 56
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\profile\data\datasources\user_repo.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\profile\data\models\user_model.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 44
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\profile\presentation\bloc\profile_bloc.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\profile\presentation\bloc\profile_event.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\profile\presentation\bloc\profile_state.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\profile\presentation\pages\profile_screen.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\constants\colors.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 53
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\constants\enums.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 22
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\constants\image_strings.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\constants\sizes.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 70
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\constants\validators.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 81
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\theme\theme.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\theme\widget_themes\appbar_theme.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\theme\widget_themes\bottom_sheet_theme.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\theme\widget_themes\card_theme.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 14
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\theme\widget_themes\elevated_button_theme.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 44
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\theme\widget_themes\outlined_button_theme.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 39
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\theme\widget_themes\text_button_theme.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 35
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\theme\widget_themes\text_field_theme.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 77
"d:\Flutter\practice\client project\ecommerce_user\lib\utils\theme\widget_themes\text_theme.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 69
"d:\Flutter\practice\client project\ecommerce_user\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Flutter\practice\client project\ecommerce_user\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter\practice\client project\ecommerce_user\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Flutter\practice\client project\ecommerce_user\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Flutter\practice\client project\ecommerce_user\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Flutter\practice\client project\ecommerce_user\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 4, 19
"d:\Flutter\practice\client project\ecommerce_user\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
